CLASS_ID,CLASS_NO,SUBJECT_ID,CLASS_DATE
141,1,1,2024-08-02T00:00:00
162,1,2,2024-08-01T00:00:00
167,8,2,2024-08-13T00:00:00
201,4,1,2024-08-13T00:00:00
202,123,1,2024-08-08T00:00:00
169,1,3,2024-08-01T00:00:00
163,2,2,2024-08-02T00:00:00
168,9,2,2024-08-17T00:00:00
183,3,3,2024-08-04T00:00:00
142,2,1,2024-08-05T00:00:00
171,1,141,2024-08-04T00:00:00
182,6,2,2024-08-08T00:00:00
166,7,2,2024-08-10T00:00:00
161,3,1,2024-08-15T00:00:00
181,3,2,2024-08-05T00:00:00
184,4,3,2024-08-06T00:00:00
170,2,3,2024-08-02T00:00:00
164,4,2,2024-08-06T00:00:00
165,5,2,2024-08-07T00:00:00
