STUDENTS_ATTEND_ROW_NO,CLASS_ID,USN,ATTENDANCE
101,141,1MP22CS003,N
102,141,1MP22CS007,Y
103,141,1MP22CS009,Y
104,141,1MP22CS016,Y
105,141,1MP22CS029,N
106,141,1MP22CS031,N
107,141,1MP22CS032,N
108,141,1MP22CS039,N
109,141,1MP22CS040,Y
110,141,1MP22CS060,N
131,162,1MP22CS003,Y
132,162,1MP22CS007,Y
133,162,1MP22CS009,Y
134,162,1MP22CS016,Y
135,162,1MP22CS029,Y
136,162,1MP22CS031,N
137,162,1MP22CS032,Y
138,162,1MP22CS039,Y
139,162,1MP22CS040,Y
140,162,1MP22CS060,Y
201,167,1MP22CS003,Y
202,167,1MP22CS007,N
203,167,1MP22CS009,Y
204,167,1MP22CS016,Y
205,167,1MP22CS029,Y
206,167,1MP22CS031,N
207,167,1MP22CS032,Y
208,167,1MP22CS039,Y
209,167,1MP22CS040,Y
210,167,1MP22CS060,N
301,201,1MP22CS003,Y
302,201,1MP22CS007,N
303,201,1MP22CS009,Y
304,201,1MP22CS016,N
305,201,1MP22CS029,Y
306,201,1MP22CS031,Y
307,201,1MP22CS032,Y
308,201,1MP22CS039,N
309,201,1MP22CS040,Y
310,201,1MP22CS060,N
311,202,1MP22CS003,N
312,202,1MP22CS007,N
313,202,1MP22CS009,N
314,202,1MP22CS016,N
315,202,1MP22CS029,N
316,202,1MP22CS031,Y
317,202,1MP22CS032,N
318,202,1MP22CS039,N
319,202,1MP22CS040,N
320,202,1MP22CS060,N
211,168,1MP22CS003,N
212,168,1MP22CS007,N
213,168,1MP22CS009,N
214,168,1MP22CS016,N
215,168,1MP22CS029,N
216,168,1MP22CS031,Y
217,168,1MP22CS032,Y
218,168,1MP22CS039,Y
219,168,1MP22CS040,Y
220,168,1MP22CS060,Y
141,163,1MP22CS003,Y
142,163,1MP22CS007,Y
143,163,1MP22CS009,Y
144,163,1MP22CS016,Y
145,163,1MP22CS029,Y
146,163,1MP22CS031,Y
147,163,1MP22CS032,Y
148,163,1MP22CS039,Y
149,163,1MP22CS040,Y
150,163,1MP22CS060,Y
221,169,1MP22CS003,Y
222,169,1MP22CS007,Y
223,169,1MP22CS009,Y
224,169,1MP22CS016,Y
225,169,1MP22CS029,Y
226,169,1MP22CS031,Y
227,169,1MP22CS032,N
228,169,1MP22CS039,Y
229,169,1MP22CS040,Y
230,169,1MP22CS060,Y
231,169,1MP23CS006,Y
261,183,1MP22CS003,Y
262,183,1MP22CS007,N
263,183,1MP22CS009,Y
264,183,1MP22CS016,Y
265,183,1MP22CS029,N
266,183,1MP22CS031,Y
267,183,1MP22CS032,N
268,183,1MP22CS039,Y
269,183,1MP22CS040,Y
270,183,1MP22CS060,Y
271,183,1MP23CS006,Y
243,171,1MP22CS007,N
244,171,1MP22CS016,Y
245,171,1MP22CS031,N
246,171,1MP22CS060,Y
247,171,1MP23CS006,N
111,142,1MP22CS003,N
112,142,1MP22CS007,Y
113,142,1MP22CS009,N
114,142,1MP22CS016,Y
115,142,1MP22CS029,N
116,142,1MP22CS031,N
117,142,1MP22CS032,Y
118,142,1MP22CS039,Y
119,142,1MP22CS040,N
120,142,1MP22CS060,N
161,181,1MP22CS003,Y
162,181,1MP22CS007,Y
163,181,1MP22CS009,Y
164,181,1MP22CS016,N
165,181,1MP22CS029,Y
166,181,1MP22CS031,N
167,181,1MP22CS032,Y
168,181,1MP22CS039,Y
169,181,1MP22CS040,Y
170,181,1MP22CS060,Y
171,182,1MP22CS003,N
172,182,1MP22CS007,Y
173,182,1MP22CS009,Y
174,182,1MP22CS016,Y
175,182,1MP22CS029,Y
121,161,1MP22CS003,Y
122,161,1MP22CS007,Y
123,161,1MP22CS009,N
124,161,1MP22CS016,Y
125,161,1MP22CS029,N
126,161,1MP22CS031,Y
127,161,1MP22CS032,Y
128,161,1MP22CS039,Y
129,161,1MP22CS040,Y
130,161,1MP22CS060,Y
176,182,1MP22CS031,Y
177,182,1MP22CS032,Y
178,182,1MP22CS039,Y
179,182,1MP22CS040,Y
180,182,1MP22CS060,Y
191,166,1MP22CS003,N
192,166,1MP22CS007,Y
193,166,1MP22CS009,Y
194,166,1MP22CS016,Y
195,166,1MP22CS029,Y
196,166,1MP22CS031,Y
197,166,1MP22CS032,N
198,166,1MP22CS039,Y
199,166,1MP22CS040,N
200,166,1MP22CS060,Y
272,184,1MP22CS003,Y
273,184,1MP22CS007,Y
274,184,1MP22CS009,Y
275,184,1MP22CS016,Y
276,184,1MP22CS029,Y
277,184,1MP22CS031,N
278,184,1MP22CS032,Y
279,184,1MP22CS039,Y
280,184,1MP22CS040,Y
281,184,1MP22CS060,Y
282,184,1MP23CS006,Y
151,164,1MP22CS003,Y
152,164,1MP22CS007,N
153,164,1MP22CS009,Y
154,164,1MP22CS016,N
155,164,1MP22CS029,Y
156,164,1MP22CS031,Y
157,164,1MP22CS032,Y
158,164,1MP22CS039,Y
159,164,1MP22CS040,Y
160,164,1MP22CS060,Y
181,165,1MP22CS003,Y
182,165,1MP22CS007,Y
183,165,1MP22CS009,Y
184,165,1MP22CS016,Y
185,165,1MP22CS029,Y
186,165,1MP22CS031,Y
187,165,1MP22CS032,Y
188,165,1MP22CS039,Y
189,165,1MP22CS040,Y
190,165,1MP22CS060,Y
232,170,1MP22CS003,N
233,170,1MP22CS007,Y
234,170,1MP22CS009,Y
235,170,1MP22CS016,Y
236,170,1MP22CS029,Y
237,170,1MP22CS031,N
238,170,1MP22CS032,Y
239,170,1MP22CS039,Y
240,170,1MP22CS040,Y
241,170,1MP22CS060,Y
242,170,1MP23CS006,Y
