TEST_ID,USN,MARKS
101,1MP22CS003,45
101,1MP22CS007,35
101,1MP22CS009,37
101,1MP22CS016,6
101,1MP22CS029,15
101,1MP22CS031,40
101,1MP22CS032,32
101,1MP22CS039,30
101,1MP22CS040,25
101,1MP22CS060,49
101,1MP23CS006,29
24,1MP22CS003,25
24,1MP22CS007,27
24,1MP22CS009,24
24,1MP22CS016,31
24,1MP22CS029,45
24,1MP22CS031,48
24,1MP22CS032,48
24,1MP22CS039,19
24,1MP22CS040,48
24,1MP22CS060,38
102,1MP22CS003,34
102,1MP22CS007,45
102,1MP22CS009,24
102,1MP22CS016,0
102,1MP22CS029,0
102,1MP22CS031,45
102,1MP22CS032,0
102,1MP22CS039,0
102,1MP22CS040,0
102,1MP22CS060,0
42,1MP22CS003,50
42,1MP22CS007,37
42,1MP22CS009,19
42,1MP22CS016,30
42,1MP22CS029,29
42,1MP22CS031,44
42,1MP22CS032,26
42,1MP22CS039,46
42,1MP22CS040,46
42,1MP22CS060,40
25,1MP22CS003,48
25,1MP22CS007,32
25,1MP22CS009,39
25,1MP22CS016,45
25,1MP22CS029,48
25,1MP22CS031,31
25,1MP22CS032,38
25,1MP22CS039,41
25,1MP22CS040,39
25,1MP22CS060,32
41,1MP22CS003,0
41,1MP22CS007,35
41,1MP22CS009,50
41,1MP22CS016,22
41,1MP22CS029,23
41,1MP22CS031,18
41,1MP22CS032,18
41,1MP22CS039,19
41,1MP22CS040,29
41,1MP22CS060,23
