SUBJECT_ID,USN
1,1MP22CS003
1,1MP22CS007
1,1MP22CS009
1,1MP22CS016
1,1MP22CS029
1,1MP22CS031
1,1MP22CS032
1,1MP22CS039
1,1MP22CS040
1,1MP22CS060
2,1MP22CS003
2,1MP22CS007
2,1MP22CS009
2,1MP22CS016
2,1MP22CS029
2,1MP22CS031
2,1MP22CS032
2,1MP22CS039
2,1MP22CS040
2,1MP22CS060
3,1MP22CS003
3,1MP22CS007
3,1MP22CS009
3,1MP22CS016
3,1MP22CS029
3,1MP22CS031
3,1MP22CS032
3,1MP22CS039
3,1MP22CS040
3,1MP22CS060
3,1MP23CS006
61,1MP22CS007
61,1MP22CS016
61,1MP22CS039
61,1MP22CS040
61,1MP22CS060
141,1MP22CS007
141,1MP22CS016
141,1MP22CS031
141,1MP22CS060
141,1MP23CS006
